country,scoreidh,scoreEco,scoreDemo,scoreGender
Timor-Leste,0.605494766871252,45.76,7.19,0.637
Trinidad and Tobago,0.779912427629402,62.91,7.04,0.723
Tunisia,0.724559571999977,57.55,6.32,0.636
Turkey,0.766995969541256,62.07,4.88,0.623
Uganda,0.49283418500576,59.26,5.09,0.704
Ukraine,0.743049422919864,46.76,5.69,0.7
United Arab Emirates,0.839799159479088,72.55,2.69,0.639
United Kingdom,0.909490905908351,76.41,8.53,0.752
United States,0.919553055741236,75.44,7.98,0.722
Uruguay,0.794785893009036,68.75,8.12,0.681
Venezuela,0.766716416892275,33.74,3.87,0.694
Vietnam,0.683277513778421,53.99,3.08,0.7
Zimbabwe,0.515640183250025,38.23,3.16,0.71
